央视移动源,#genre#
CCTV1,http://223.78.81.123:9724/hls/1/index.m3u8
CCTV2,http://223.78.81.123:9724/hls/2/index.m3u8
CCTV3,http://223.78.81.123:9724/hls/3/index.m3u8
CCTV4,http://223.78.81.123:9724/hls/4/index.m3u8
CCTV5,http://223.78.81.123:9724/hls/5/index.m3u8
CCTV5+,http://223.78.81.123:9724/hls/6/index.m3u8
CCTV6,http://223.78.81.123:9724/hls/7/index.m3u8
CCTV7,http://223.78.81.123:9724/hls/8/index.m3u8
CCTV8,http://223.78.81.123:9724/hls/9/index.m3u8
CCTV9,http://223.78.81.123:9724/hls/10/index.m3u8
CCTV10,http://223.78.81.123:9724/hls/11/index.m3u8
CCTV11,http://223.78.81.123:9724/hls/12/index.m3u8
CCTV12,http://223.78.81.123:9724/hls/13/index.m3u8
CCTV13,http://223.78.81.123:9724/hls/14/index.m3u8


央视其他源,#genre#
CCTV1,http://yhms.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV1,http://lysj.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV1,http://zczb.aylzline.top:8899/rtp/225.1.2.47:10276
CCTV2,http://lysj.aylzline.top:8899/rtp/225.1.2.78:10462
CCTV3,http://lysj.aylzline.top:8899/rtp/225.1.2.141:10864
CCTV3,http://zczb.aylzline.top:8899/rtp/225.1.2.141:10864
CCTV4,http://yhms.aylzline.top:8899/rtp/225.1.2.197:11806
CCTV4,http://lysj.aylzline.top:8899/rtp/225.1.2.197:11806
CCTV5,http://lysj.aylzline.top:8899/rtp/225.1.2.142:10870
CCTV5+,http://lysj.aylzline.top:8899/rtp/225.1.2.48:10282
CCTV5+,http://yhms.aylzline.top:8899/rtp/225.1.2.48:10282
CCTV5,http://zczb.aylzline.top:8899/rtp/225.1.2.142:10870
CCTV6,http://yhms.aylzline.top:8899/rtp/225.1.2.143:10876
CCTV7,http://yhms.aylzline.top:8899/rtp/225.1.2.79:10468
CCTV7,http://zczb.aylzline.top:8899/rtp/225.1.2.79:10468
CCTV8,http://yhms.aylzline.top:8899/rtp/225.1.2.144:10882
CCTV8,http://zczb.aylzline.top:8899/rtp/225.1.2.144:10882
CCTV9,http://yhms.aylzline.top:8899/rtp/225.1.2.80:10474
CCTV9,http://zczb.aylzline.top:8899/rtp/225.1.2.80:10474
CCTV9,http://lysj.aylzline.top:8899/rtp/225.1.2.80:10474
CCTV10,http://yhms.aylzline.top:8899/rtp/225.1.2.81:10480
CCTV10,http://zczb.aylzline.top:8899/rtp/225.1.2.81:10480
CCTV11,http://yhms.aylzline.top:8899/rtp/225.1.2.220:11434
CCTV11,http://lysj.aylzline.top:8899/rtp/225.1.2.220:11434
CCTV11,http://zczb.aylzline.top:8899/rtp/225.1.2.220:11434
CCTV12,http://lysj.aylzline.top:8899/rtp/225.1.2.82:10486
CCTV12,http://zczb.aylzline.top:8899/rtp/225.1.2.82:10486
CCTV13,http://lysj.aylzline.top:8899/rtp/225.1.2.74:11584
CCTV13,http://zczb.aylzline.top:8899/rtp/225.1.2.74:11584
CCTV14,http://zczb.aylzline.top:8899/rtp/225.1.2.83:10492
CCTV14,http://lysj.aylzline.top:8899/rtp/225.1.2.83:10492
CCTV15,http://yhms.aylzline.top:8899/rtp/225.1.2.221:11440
CCTV15,http://lysj.aylzline.top:8899/rtp/225.1.2.221:11440
CCTV15,http://zczb.aylzline.top:8899/rtp/225.1.2.221:11440
CCTV17,http://yhms.aylzline.top:8899/rtp/225.1.2.53:10312
CCTV17,http://lysj.aylzline.top:8899/rtp/225.1.2.53:10312
CCTV17,http://zczb.aylzline.top:8899/rtp/225.1.2.53:10312
CCTV4欧洲,http://lysj.aylzline.top:8899/rtp/225.1.2.182:11818
CCTV4欧洲,http://yhms.aylzline.top:8899/rtp/225.1.2.182:11818
CCTV4美洲,http://yhms.aylzline.top:8899/rtp/225.1.2.183:11824
CCTV4美洲,http://zczb.aylzline.top:8899/rtp/225.1.2.183:11824

央视咪咕源,#genre#
CCTV1综合,http://47.119.24.76:59093/608807420
CCTV2财经,http://47.119.24.76:59093/631780532
CCTV3综艺,http://47.119.24.76:59093/624878271
CCTV4中文国际,http://47.119.24.76:59093/631780421
CCTV5体育,http://47.119.24.76:59093/641886683
CCTV5+体育赛事,http://47.119.24.76:59093/641886773
CCTV6电影,http://47.119.24.76:59093/624878396
CCTV7国防军事,http://47.119.24.76:59093/673168121
CCTV8电视剧,http://47.119.24.76:59093/624878356
CCTV9纪录,http://47.119.24.76:59093/673168140
CCTV10科教,http://47.119.24.76:59093/624878405
CCTV11戏曲,http://47.119.24.76:59093/667987558
CCTV12社会与法,http://47.119.24.76:59093/673168185
CCTV13新闻,http://47.119.24.76:59093/608807423
CCTV14少儿,http://47.119.24.76:59093/624878440
CCTV15音乐,http://47.119.24.76:59093/673168223
CCTV17农业农村,http://47.119.24.76:59093/673168256
CCTV4欧洲,http://47.119.24.76:59093/608807419
CCTV4美洲,http://47.119.24.76:59093/608807416
CGTN外语纪录,http://47.119.24.76:59093/609006487
CGTN阿拉伯语,http://47.119.24.76:59093/609154345
CGTN西班牙语,http://47.119.24.76:59093/609006450
CGTN法语,http://47.119.24.76:59093/609006476
CGTN俄语,http://47.119.24.76:59093/609006446
老故事,http://47.119.24.76:59093/884121956
发现之旅,http://47.119.24.76:59093/624878970
CGTN,http://47.119.24.76:59093/609017205
赛事最经典,http://47.119.24.76:59093/646596895
体坛名栏汇,http://47.119.24.76:59093/629943305

卫视地方台,#genre#
东方卫视,http://47.119.24.76:59093/651632648
浙江卫视4K,http://ali-xwl.cztv.com/live/channel4k2160p.m3u8
浙江卫视4K,https://play-qukan.cztv.com/live/1758879019692345.m3u8
浙江卫视4K,https://play-qukan.cztv.com:443/live/1758879019692345.m3u8
浙江卫视4K,http://101.35.240.114:88/live.php?id=浙江卫视4K
江苏卫视,http://47.119.24.76:59093/623899368
广东卫视,http://47.119.24.76:59093/608831231
北京卫视,http://47.119.24.76:59093/630287636
辽宁卫视,http://47.119.24.76:59093/630291707
河北卫视,http://47.119.24.76:59093/962042070
江西卫视,http://47.119.24.76:59093/783847495
河南卫视,http://47.119.24.76:59093/790187291
陕西卫视,http://47.119.24.76:59093/738910838
大湾区卫视,http://47.119.24.76:59093/608917627
湖北卫视,http://47.119.24.76:59093/947472496
吉林卫视,http://47.119.24.76:59093/947472500
青海卫视,http://47.119.24.76:59093/947472506
东南卫视,http://47.119.24.76:59093/849116810
海南卫视,http://47.119.24.76:59093/947472502
河北4k,https://event.pull.hebtv.com:443/live/live101.m3u8
南国都市4K,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=550af55c0ea34ce492748481415b6dfa&txTime=1903e7b17de$LR•IPV4
海峡卫视,http://47.119.24.76:59093/849119120
中国农林卫视,http://47.119.24.76:59093/956904896
兵团卫视,http://47.119.24.76:59093/956923145
宁夏卫视,http://47.119.24.76:59093/738910535
重庆卫视,http://47.119.24.76:59093/738910914
三沙卫视,http://47.119.24.76:59093/961023778

组播频道,#genre#
CCTV1综合,http:/124.77.202.8:49155/608807420
CCTV2财经,http:/124.77.202.8:49155/631780532
CCTV3综艺,http:/124.77.202.8:49155/624878271
CCTV4中文国际,http:/124.77.202.8:49155/631780421
CCTV5体育,http:/124.77.202.8:49155/641886683
CCTV5+体育赛事,http:/124.77.202.8:49155/641886773
CCTV6电影,http:/124.77.202.8:49155/624878396
CCTV7国防军事,http:/124.77.202.8:49155/673168121
CCTV8电视剧,http:/124.77.202.8:49155/624878356
CCTV9纪录,http:/124.77.202.8:49155/673168140
CCTV10科教,http:/124.77.202.8:49155/624878405
CCTV11戏曲,http:/124.77.202.8:49155/667987558
CCTV12社会与法,http:/124.77.202.8:49155/673168185
CCTV13新闻,http:/124.77.202.8:49155/608807423
CCTV14少儿,http:/124.77.202.8:49155/624878440
CCTV15音乐,http:/124.77.202.8:49155/673168223
CCTV17农业农村,http:/124.77.202.8:49155/673168256
CCTV4欧洲,http:/124.77.202.8:49155/608807419
CCTV4美洲,http:/124.77.202.8:49155/608807416
CGTN外语纪录,http:/124.77.202.8:49155/609006487
CGTN阿拉伯语,http:/124.77.202.8:49155/609154345
CGTN西班牙语,http:/124.77.202.8:49155/609006450
CGTN法语,http:/124.77.202.8:49155/609006476
CGTN俄语,http:/124.77.202.8:49155/609006446
老故事,http:/124.77.202.8:49155/884121956
发现之旅,http:/124.77.202.8:49155/624878970
CGTN,http:/124.77.202.8:49155/609017205
赛事最经典,http:/124.77.202.8:49155/646596895
体坛名栏汇,http:/124.77.202.8:49155/629943305
东方卫视,http:/124.77.202.8:49155/651632648
江苏卫视,http:/124.77.202.8:49155/623899368
广东卫视,http:/124.77.202.8:49155/608831231
北京卫视,http:/124.77.202.8:49155/630287636
辽宁卫视,http:/124.77.202.8:49155/630291707
河北卫视,http:/124.77.202.8:49155/962042070
江西卫视,http:/124.77.202.8:49155/783847495
河南卫视,http:/124.77.202.8:49155/790187291
陕西卫视,http:/124.77.202.8:49155/738910838
大湾区卫视,http:/124.77.202.8:49155/608917627
湖北卫视,http:/124.77.202.8:49155/947472496
吉林卫视,http:/124.77.202.8:49155/947472500
青海卫视,http:/124.77.202.8:49155/947472506
东南卫视,http:/124.77.202.8:49155/849116810
海南卫视,http:/124.77.202.8:49155/947472502
海峡卫视,http:/124.77.202.8:49155/849119120
中国农林卫视,http:/124.77.202.8:49155/956904896
兵团卫视,http:/124.77.202.8:49155/956923145
宁夏卫视,http:/124.77.202.8:49155/738910535
重庆卫视,http:/124.77.202.8:49155/738910914
三沙卫视,http:/124.77.202.8:49155/961023778

内网频道,#genre#
CCTV-1综合,http://207.56.13.146:81/cdnlive/cctv1.m3u8
CCTV-2财经,http://207.56.13.146:81/cdnlive/cctv2.m3u8
CCTV-3综艺,http://207.56.13.146:81/cdnlive/cctv3.m3u8
CCTV-4中文国际,http://207.56.13.146:81/cdnlive/cctv4.m3u8
CCTV-5体育,http://207.56.13.146:81/cdnlive/cctv5.m3u8
CCTV-5+HD,http://207.56.13.146:81/cdnlive/cctv5p.m3u8
CCTV-6电影,http://207.56.13.146:81/cdnlive/cctv6.m3u8
CCTV-7国防军事,http://207.56.13.146:81/cdnlive/cctv7.m3u8
CCTV-8电视剧,http://207.56.13.146:81/cdnlive/cctv8.m3u8
CCTV-9纪录,http://207.56.13.146:81/cdnlive/cctv9.m3u8
CCTV-10科教,http://207.56.13.146:81/cdnlive/cctv10.m3u8
CCTV-11戏曲,http://207.56.13.146:81/cdnlive/cctv11.m3u8
CCTV-12社会与法,http://207.56.13.146:81/cdnlive/cctv12.m3u8
CCTV-13新闻,http://207.56.13.146:81/cdnlive/cctv13.m3u8
CCTV-14少儿,http://207.56.13.146:81/cdnlive/cctv14.m3u8
CCTV-15音乐,http://207.56.13.146:81/cdnlive/cctv15.m3u8
CCTV-16奥林匹克,http://207.56.13.146:81/cdnlive/cctv16.m3u8
CCTV-17农业农村,http://207.56.13.146:81/cdnlive/cctv17.m3u8
CCTV-世界地理,http://207.56.13.146:81/cdnlive/sjdl.m3u8
CCTV-第一剧场,http://207.56.13.146:81/cdnlive/dyjc.m3u8
CCTV-怀旧剧场,http://207.56.13.146:81/cdnlive/hjjc.m3u8
CCTV-风云剧场,http://207.56.13.146:81/cdnlive/fyjc.m3u8
CCTV-兵器科技,http://207.56.13.146:81/cdnlive/gfjs.m3u8
CCTV-女性时尚,http://207.56.13.146:81/cdnlive/nxss.m3u8
CCTV-卫生健康,http://207.56.13.146:81/cdnlive/wsjk.m3u8
CCTV-央视文化精品,http://207.56.13.146:81/cdnlive/ysjp.m3u8
CCTV-风云足球,http://207.56.13.146:81/cdnlive/fyzq.m3u8
CCTV-风云音乐,http://207.56.13.146:81/cdnlive/fyyy.m3u8
CCTV-央视台球,http://207.56.13.146:81/cdnlive/ystq.m3u8
CCTV-高尔夫网球,http://207.56.13.146:81/cdnlive/gefwq.m3u8
江苏卫视,http://207.56.13.146:81/cdnlive/jsws.m3u8
浙江卫视,http://207.56.13.146:81/cdnlive/zjws.m3u8
湖南卫视,http://207.56.13.146:81/cdnlive/hnws.m3u8
北京卫视,http://207.56.13.146:81/cdnlive/bjws.m3u8
东方卫视,http://207.56.13.146:81/cdnlive/dfws.m3u8
山东卫视,http://207.56.13.146:81/cdnlive/sdws.m3u8
山西卫视,http://207.56.13.146:81/cdnlive/sxws.m3u8
广东卫视,http://207.56.13.146:81/cdnlive/gdws.m3u8
广西卫视,http://207.56.13.146:81/cdnlive/gxws.m3u8
云南卫视,http://207.56.13.146:81/cdnlive/ynws.m3u8
天津卫视,http://207.56.13.146:81/cdnlive/tjws.m3u8
东南卫视,http://207.56.13.146:81/cdnlive/dnws.m3u8
四川卫视,http://207.56.13.146:81/cdnlive/scws.m3u8
宁夏卫视,http://207.56.13.146:81/cdnlive/nxws.m3u8
甘肃卫视,http://207.56.13.146:81/cdnlive/gsws.m3u8
吉林卫视,http://207.56.13.146:81/cdnlive/jlws.m3u8
安徽卫视,http://207.56.13.146:81/cdnlive/ahws.m3u8
江西卫视,http://207.56.13.146:81/cdnlive/jxws.m3u8
西藏卫视,http://207.56.13.146:81/cdnlive/xzws.m3u8
辽宁卫视,http://207.56.13.146:81/cdnlive/lnws.m3u8
河北卫视,http://207.56.13.146:81/cdnlive/hews.m3u8
河南卫视,http://207.56.13.146:81/cdnlive/haws.m3u8
青海卫视,http://207.56.13.146:81/cdnlive/qhws.m3u8
贵州卫视,http://207.56.13.146:81/cdnlive/gzws.m3u8
重庆卫视,http://207.56.13.146:81/cdnlive/cqws.m3u8
陕西卫视,http://207.56.13.146:81/cdnlive/snws.m3u8
海南卫视,http://207.56.13.146:81/cdnlive/lyws.m3u8
深圳卫视,http://207.56.13.146:81/cdnlive/szws.m3u8
湖北卫视,http://207.56.13.146:81/cdnlive/hbws.m3u8
新疆卫视,http://207.56.13.146:81/cdnlive/xjws.m3u8
内蒙古卫视,http://207.56.13.146:81/cdnlive/nmgws.m3u8
黑龙江卫视,http://207.56.13.146:81/cdnlive/hljws.m3u8

限时华数台,#genre#
华数星影,http://192.144.185.155:6000/rtp/225.1.8.254:4120$北京市电信
华数动作影院,http://192.144.185.155:6000/rtp/225.1.8.252:4120$北京市电信
华数喜剧影院,http://192.144.185.155:6000/rtp/225.1.8.251:4120$北京市电信
华数家庭影院,http://192.144.185.155:6000/rtp/225.1.8.253:4120$北京市电信
华数经典电影,http://192.144.185.155:6000/rtp/225.1.8.203:9024$北京市电信
华数热播剧场,http://192.144.185.155:6000/rtp/225.1.8.202:9020$北京市电信
华数热播剧场,http://113.102.83.19:4022/rtp/239.77.0.106:5146$广东电信
华数热播剧场,http://183.44.113.165:2222/rtp/239.77.0.106:5146$广东电信
华数军旅剧场,http://192.144.185.155:6000/rtp/225.1.8.228:4120$北京市电信
华数城市剧场,http://192.144.185.155:6000/rtp/225.1.8.227:4120$北京市电信
华数古装剧场,http://192.144.185.155:6000/rtp/225.1.8.229:4120$北京市电信
华数魅力时尚,http://192.144.185.155:6000/rtp/225.1.8.204:9012$北京市电信
华数少儿动画,http://192.144.185.155:6000/rtp/225.1.8.207:9000$北京市电信
华数少儿动画,http://113.102.83.19:4022/rtp/239.77.0.109:5146$广东电信
华数少儿动画,http://183.44.113.165:2222/rtp/239.77.0.109:5146$广东电信
华数动画,http://192.144.185.155:6000/rtp/225.1.8.240:4120$北京市电信
华数剧场1,http://yuwentao114.x3322.net:4022/udp/239.252.220.145:5140$【yuwen】
华数剧场2,http://yuwentao114.x3322.net:4022/udp/239.252.220.142:5140$【yuwen】
华数剧场3,http://yuwentao114.x3322.net:4022/udp/239.252.220.139:5140$【yuwen】
华数剧场4,http://yuwentao114.x3322.net:4022/udp/239.252.220.138:5140$【yuwen】
华数剧场5,http://yuwentao114.x3322.net:4022/udp/239.252.220.137:5140$【yuwen】
